Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Dialogue,y8a02034.wav,wav,3.92,48000,16,1,-16.44,-5.17
Dialogue,y8a02035.wav,wav,3.92,48000,16,1,-17.41,-4.47
Dialogue,y8a02036.wav,wav,1.37,48000,16,1,-16.82,-4.26
Dialogue,y8a02037.wav,wav,7.77,48000,16,1,-18.13,-3.38
Dialogue,y8a02038.wav,wav,4.67,48000,16,1,-17.75,-2.62
Dialogue,y8a02039.wav,wav,1.93,48000,16,1,-17.75,-4.04
Dialogue,y8a02040.wav,wav,5.82,48000,16,1,-16.85,-3.88
Dialogue,y8a02041.wav,wav,2.73,48000,16,1,-16.13,-3.78
Dialogue,y8a02042.wav,wav,6.69,48000,16,1,-17.91,-3.33
Dialogue,y8a02043.wav,wav,4.83,48000,16,1,-17.77,-2.47
Dialogue,y8a02044.wav,wav,5.41,48000,16,1,-18.90,-3.36
Dialogue,y8a02045.wav,wav,2.58,48000,16,1,-17.59,-3.23
Dialogue,y8a02046.wav,wav,2.43,48000,16,1,-16.87,-3.33
Dialogue,y8a02047.wav,wav,4.68,48000,16,1,-17.01,-3.71
Dialogue,y8a02048.wav,wav,5.69,48000,16,1,-17.31,-4.30
Dialogue,y8a02049.wav,wav,4.71,48000,16,1,-17.62,-2.66
Dialogue,y8a02050.wav,wav,2.94,48000,16,1,-16.50,-4.97
Dialogue,y8a02051.wav,wav,2.88,48000,16,1,-17.89,-2.81
Dialogue,y8a02052.wav,wav,4.82,48000,16,1,-17.28,-3.13
Dialogue,y8a02053.wav,wav,4.61,48000,16,1,-17.51,-2.85
Dialogue,y8a02054.wav,wav,3.32,48000,16,1,-18.64,-4.39
Dialogue,y8a02055.wav,wav,3.49,48000,16,1,-17.58,-3.19
Dialogue,y8a02056.wav,wav,4.08,48000,16,1,-17.07,-4.26
Dialogue,y8a02057.wav,wav,4.40,48000,16,1,-17.44,-3.44
Dialogue,y8a02058.wav,wav,2.25,48000,16,1,-17.11,-4.64
Dialogue,y8a02059.wav,wav,2.62,48000,16,1,-17.01,-3.35
Dialogue,y8a02060.wav,wav,3.92,48000,16,1,-17.48,-4.06
Dialogue,y8a02061.wav,wav,4.42,48000,16,1,-17.26,-4.25
Dialogue,y8a02062.wav,wav,1.94,48000,16,1,-17.49,-4.16
Dialogue,y8a02063.wav,wav,6.54,48000,16,1,-17.43,-3.15
Dialogue,y8a02064.wav,wav,3.44,48000,16,1,-18.68,-3.57
Dialogue,y8a02065.wav,wav,2.04,48000,16,1,-16.08,-3.86
Dialogue,y8a02066.wav,wav,5.84,48000,16,1,-17.78,-2.27
Dialogue,y8a02067.wav,wav,2.88,48000,16,1,-17.43,-3.65
Dialogue,y8a02068.wav,wav,6.51,48000,16,1,-17.40,-2.55
Dialogue,y8a02069.wav,wav,5.19,48000,16,1,-18.73,-3.25
Dialogue,y8a02070.wav,wav,2.63,48000,16,1,-17.23,-3.87
Dialogue,y8a02071.wav,wav,3.51,48000,16,1,-16.68,-3.96
Dialogue,y8a02072.wav,wav,4.63,48000,16,1,-18.29,-2.24
Dialogue,y8a02073.wav,wav,4.14,48000,16,1,-18.33,-3.60
Dialogue,y8a02074.wav,wav,3.83,48000,16,1,-18.03,-3.21
Dialogue,y8a02075.wav,wav,0.89,48000,16,1,-14.22,-1.41
Dialogue,y8a02076.wav,wav,5.41,48000,16,1,-17.69,-2.91
Dialogue,y8a02077.wav,wav,5.06,48000,16,1,-17.84,-1.34
Dialogue,y8a03000.wav,wav,3.54,48000,16,1,-18.25,-4.50
Dialogue,y8a03001.wav,wav,3.82,48000,16,1,-22.85,-6.57
Dialogue,y8a03002.wav,wav,1.23,48000,16,1,-20.77,-6.41
Dialogue,y8a03003.wav,wav,4.19,48000,16,1,-19.11,-2.91
Dialogue,y8a03004.wav,wav,2.03,48000,16,1,-22.23,-5.28
Dialogue,y8a03005.wav,wav,5.65,48000,16,1,-19.85,-3.05
Dialogue,y8a03006.wav,wav,3.11,48000,16,1,-21.74,-2.03
Dialogue,y8a03007.wav,wav,3.00,48000,16,1,-21.16,-3.40
Dialogue,y8a03008.wav,wav,3.53,48000,16,1,-22.41,-2.17
Dialogue,y8a03009.wav,wav,1.61,48000,16,1,-16.98,-3.79
Dialogue,y8a03010.wav,wav,2.28,48000,16,1,-18.99,-2.11
Dialogue,y8a03011.wav,wav,2.50,48000,16,1,-21.75,-4.41
Dialogue,y8a03012.wav,wav,5.21,48000,16,1,-22.00,-3.84
Dialogue,y8a03013.wav,wav,4.68,48000,16,1,-20.89,-4.60
Dialogue,y8a03014.wav,wav,1.49,48000,16,1,-19.99,-4.12
Dialogue,y8a03015.wav,wav,3.55,48000,16,1,-19.65,-2.95
