Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Sound Effect,se_00231.wav,wav,0.63,22050,16,1,-6.83,0.00
Sound Effect,se_00232.wav,wav,0.67,22050,16,1,-13.02,-1.16
Sound Effect,se_00233.wav,wav,0.54,22050,16,1,-5.53,0.00
Sound Effect,se_00234.wav,wav,0.63,22050,16,1,-6.83,0.00
Sound Effect,se_00235.wav,wav,0.27,22050,16,1,-13.18,-0.30
Sound Effect,se_00236.wav,wav,0.55,22050,16,1,-18.49,-1.16
Sound Effect,se_00237.wav,wav,0.34,22050,16,1,-7.95,-0.11
Sound Effect,se_00238.wav,wav,0.11,22050,16,1,-12.37,-0.07
Sound Effect,se_00239.wav,wav,0.45,22050,16,1,-14.14,-0.44
Sound Effect,se_00240.wav,wav,0.39,22050,16,1,-10.96,-0.02
Sound Effect,se_00241.wav,wav,0.23,22050,16,1,-11.94,-0.73
Sound Effect,se_00242.wav,wav,0.29,22050,16,1,-12.43,-0.28
Sound Effect,se_00243.wav,wav,0.43,22050,16,1,-12.98,-0.49
Sound Effect,se_00244.wav,wav,0.67,22050,16,1,-14.70,-4.64
Sound Effect,se_00245.wav,wav,0.63,22050,16,1,-14.68,-3.55
Sound Effect,se_00246.wav,wav,0.57,22050,16,1,-13.18,-0.42
Sound Effect,se_00247.wav,wav,1.01,22050,16,1,-16.54,-0.49
Sound Effect,se_00248.wav,wav,0.40,22050,16,1,-11.21,-0.01
Sound Effect,se_00249.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00250.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00251.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00252.wav,wav,0.25,22050,16,1,-22.95,-0.25
Sound Effect,se_00253.wav,wav,0.34,22050,16,1,-21.54,-0.53
Sound Effect,se_00254.wav,wav,0.58,22050,16,1,-14.99,-0.02
Sound Effect,se_00255.wav,wav,0.42,22050,16,1,-18.07,-0.06
Sound Effect,se_00256.wav,wav,0.55,22050,16,1,-11.93,0.00
Sound Effect,se_00257.wav,wav,0.33,22050,16,1,-19.57,-0.47
Sound Effect,se_00258.wav,wav,0.25,22050,16,1,-17.62,0.00
Sound Effect,se_00259.wav,wav,0.23,22050,16,1,-18.50,-0.34
Sound Effect,se_00260.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00261.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00262.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00263.wav,wav,0.63,22050,16,1,-6.83,0.00
Sound Effect,se_00264.wav,wav,0.27,22050,16,1,-13.18,-0.30
Sound Effect,se_00265.wav,wav,0.55,22050,16,1,-18.49,-1.16
Sound Effect,se_00266.wav,wav,0.34,22050,16,1,-7.95,-0.11
Sound Effect,se_00267.wav,wav,0.47,22050,16,1,-7.66,-0.24
Sound Effect,se_00268.wav,wav,0.21,22050,16,1,-12.84,-0.43
Sound Effect,se_00269.wav,wav,0.48,22050,16,1,-12.39,-0.41
Sound Effect,se_00270.wav,wav,0.44,22050,16,1,-11.56,-0.03
Sound Effect,se_00271.wav,wav,0.50,22050,16,1,-6.93,0.00
Sound Effect,se_00272.wav,wav,0.38,22050,16,1,-11.08,-0.29
Sound Effect,se_00273.wav,wav,0.47,22050,16,1,-7.50,0.00
Sound Effect,se_00274.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00275.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00276.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00277.wav,wav,0.60,22050,16,1,-12.17,-0.12
Sound Effect,se_00278.wav,wav,0.60,22050,16,1,-13.44,0.00
Sound Effect,se_00279.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00280.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00281.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00282.wav,wav,0.60,22050,16,1,-12.17,-0.12
Sound Effect,se_00283.wav,wav,0.60,22050,16,1,-13.44,0.00
Sound Effect,se_00284.wav,wav,0.36,22050,16,1,-9.45,-0.44
Sound Effect,se_00285.wav,wav,0.46,22050,16,1,-12.80,-0.96
Sound Effect,se_00286.wav,wav,1.09,22050,16,1,-12.90,-0.05
Sound Effect,se_00287.wav,wav,0.63,22050,16,1,-6.83,0.00
Sound Effect,se_00288.wav,wav,0.27,22050,16,1,-13.18,-0.30
Sound Effect,se_00289.wav,wav,0.55,22050,16,1,-18.49,-1.16
Sound Effect,se_00290.wav,wav,0.34,22050,16,1,-7.95,-0.11
Sound Effect,se_00291.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00292.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00293.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00294.wav,wav,0.63,22050,16,1,-15.96,-0.42
Sound Effect,se_00295.wav,wav,0.65,22050,16,1,-11.58,-0.09
Sound Effect,se_00296.wav,wav,0.54,22050,16,1,-12.52,-0.44
Sound Effect,se_00297.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00298.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00299.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00300.wav,wav,0.36,22050,16,1,-9.45,-0.44
Sound Effect,se_00301.wav,wav,0.46,22050,16,1,-12.80,-0.96
Sound Effect,se_00302.wav,wav,1.09,22050,16,1,-12.90,-0.05
Sound Effect,se_00303.wav,wav,0.50,22050,16,1,-6.93,0.00
Sound Effect,se_00304.wav,wav,0.38,22050,16,1,-11.08,-0.29
Sound Effect,se_00305.wav,wav,0.47,22050,16,1,-7.50,0.00
Sound Effect,se_00306.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00307.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00308.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00309.wav,wav,0.63,22050,16,1,-15.96,-0.42
Sound Effect,se_00310.wav,wav,0.65,22050,16,1,-11.58,-0.09
Sound Effect,se_00311.wav,wav,0.54,22050,16,1,-12.52,-0.44
Sound Effect,se_00312.wav,wav,0.60,22050,16,1,-12.17,-0.12
Sound Effect,se_00313.wav,wav,0.60,22050,16,1,-13.44,0.00
Sound Effect,se_00314.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00315.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00316.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00317.wav,wav,0.60,22050,16,1,-12.17,-0.12
Sound Effect,se_00318.wav,wav,0.60,22050,16,1,-13.44,0.00
Sound Effect,se_00319.wav,wav,0.36,22050,16,1,-9.45,-0.44
Sound Effect,se_00320.wav,wav,0.46,22050,16,1,-12.80,-0.96
Sound Effect,se_00321.wav,wav,1.09,22050,16,1,-12.90,-0.05
Sound Effect,se_00322.wav,wav,0.47,22050,16,1,-7.66,-0.24
Sound Effect,se_00323.wav,wav,0.21,22050,16,1,-12.84,-0.43
Sound Effect,se_00324.wav,wav,0.48,22050,16,1,-12.39,-0.41
Sound Effect,se_00325.wav,wav,0.44,22050,16,1,-11.56,-0.03
Sound Effect,se_00326.wav,wav,0.50,22050,16,1,-6.93,0.00
Sound Effect,se_00327.wav,wav,0.38,22050,16,1,-11.08,-0.29
Sound Effect,se_00328.wav,wav,0.47,22050,16,1,-7.50,0.00
Sound Effect,se_00329.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00330.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00331.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00332.wav,wav,0.57,22050,16,1,-13.18,-0.42
Sound Effect,se_00333.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00334.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00335.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00336.wav,wav,1.01,22050,16,1,-16.54,-0.49
Sound Effect,se_00337.wav,wav,0.40,22050,16,1,-11.21,-0.01
Sound Effect,se_00338.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00339.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00340.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00341.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00342.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00343.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00344.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00345.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00346.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00347.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00348.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00349.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00350.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00351.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00352.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00353.wav,wav,0.61,22050,16,1,-15.28,-0.21
Sound Effect,se_00354.wav,wav,0.88,22050,16,1,-9.23,-1.71
Sound Effect,se_00355.wav,wav,0.43,22050,16,1,-11.94,-0.03
Sound Effect,se_00356.wav,wav,0.51,22050,16,1,-8.78,0.00
Sound Effect,se_00357.wav,wav,0.28,22050,16,1,-8.67,-0.10
Sound Effect,se_00358.wav,wav,0.29,22050,16,1,-16.37,-0.48
Sound Effect,se_00359.wav,wav,0.47,22050,16,1,-7.66,-0.24
Sound Effect,se_00360.wav,wav,0.21,22050,16,1,-12.84,-0.43
Sound Effect,se_00361.wav,wav,0.48,22050,16,1,-12.39,-0.41
